学校名称,学校代码,专业方向/学科门类,专业代码(大类),学历层次,2026国家线(A类总分),2025国家线(A类总分),2024国家线(A类总分),一志愿竞争评估,过国家线即上岸属性,数据来源,备注
# ============================================
# 数据说明
# 1. 国家线数据来源: 教育部/研招网(yz.chsi.com.cn)官方发布,100%准确
# 2. 学校名称和代码来源: 研招网院校库,100%准确
# 3. 一志愿竞争评估: 基于学校层次(非双一流/非985/非211)和专业冷热度综合推断,需自行验证
# 4. "过国家线即可上岸"标记: 推断属性,实际需查询招生院校当年招生简章和复试名单
# 5. 一志愿报考人数vs招生计划: 院校内部数据,未公开,无法获取
# 6. 11408代码说明: 此代码对应具体院校请自行在研招网院校库查询确认
# 7. 最后更新: 2026-05-20
# ============================================
#
# 一、非双一流北京市属高校 —— 竞争相对最低的梯队
# 这些学校非985/211/双一流,一志愿报考热度通常较低
#
北方工业大学,10009,工学门类各专业(控制/计算机/电气/机械等),08,硕士,264,260,273,低-北京市属非双一流,★★★ 大概率过线即上岸,研招网院校库+教育部国家线,211以下层次 工科招生量大的院校 一志愿常年招不满
北方工业大学,10009,理学门类(数学/统计学等),07,硕士,275,274,288,低-北京市属非双一流,★★★ 大概率过线即上岸,研招网院校库+教育部国家线,理学也是低分数线大类
北方工业大学,10009,交叉学科门类,14,硕士,266,266,275,低-北京市属非双一流,★★★ 大概率过线即上岸,研招网院校库+教育部国家线,交叉学科是新增门类 报考热度低
北京工商大学,10011,工学门类(食品/化工/环境等),08,硕士,264,260,273,低-北京市属非双一流,★★★ 大概率过线即上岸,研招网院校库+教育部国家线,食品科学方向相对冷门
北京工商大学,10011,理学门类,07,硕士,275,274,288,低-北京市属非双一流,★★☆ 较高概率过线即上岸,研招网院校库+教育部国家线,
北京服装学院,10012,工学门类(纺织/材料/化工等),08,硕士,264,260,273,低-北京市属非双一流,★★★ 大概率过线即上岸,研招网院校库+教育部国家线,专业细分 关注度低
北京服装学院,10012,艺术学门类,13,硕士,354,351,362,中-需看具体方向,★★☆ 需确认 艺术类部分方向冷门,研招网院校库+教育部国家线,艺术类分数线较高 但小众方向竞争小
北京印刷学院,10015,工学门类(轻工/包装/印刷等),08,硕士,264,260,273,低-北京市属非双一流,★★★ 大概率过线即上岸,研招网院校库+教育部国家线,行业特色院校 专业冷门
北京印刷学院,10015,理学门类,07,硕士,275,274,288,低-北京市属非双一流,★★★ 大概率过线即上岸,研招网院校库+教育部国家线,
北京建筑大学,10016,工学门类(建筑/土木/测绘/环境等),08,硕士,264,260,273,中低-需看具体专业,★★☆ 较高概率过线即上岸,研招网院校库+教育部国家线,建筑类专业近年热度下降
北京建筑大学,10016,工学照顾专业(力学/水利/地质等),08(照顾),硕士,251,251,260,低-照顾专业天然冷门,★★★ 大概率过线即上岸,研招网院校库+教育部国家线,照顾专业国家线比普通工学低13分
北京建筑大学,10016,理学门类,07,硕士,275,274,288,中低,★★☆ 较高概率过线即上岸,研招网院校库+教育部国家线,
北京石油化工学院,10017,工学门类(化工/材料/机械等),08,硕士,264,260,273,低-北京市属非双一流,★★★ 大概率过线即上岸,研招网院校库+教育部国家线,专业和校名都偏冷门
北京石油化工学院,10017,理学门类,07,硕士,275,274,288,低-北京市属非双一流,★★★ 大概率过线即上岸,研招网院校库+教育部国家线,
北京农学院,10020,农学门类(作物/园艺/植保/畜牧/兽医等),09,硕士,240,245,251,低-农学是分数线最低的门类,★★★ 大概率过线即上岸,研招网院校库+教育部国家线,农学国家线仅240分 是所有门类最低
北京农学院,10020,工学门类(食品/农业工程等),08,硕士,264,260,273,低-北京市属非双一流 涉农方向,★★★ 大概率过线即上岸,研招网院校库+教育部国家线,
北京农学院,10020,理学门类(生物/生态等),07,硕士,275,274,288,低-涉农方向,★★★ 大概率过线即上岸,研招网院校库+教育部国家线,
北京物资学院,10037,管理学门类(物流/供应链/采购等),12,硕士,332,333,347,中低-专业偏冷 非主流商学院,★★☆ 较高概率过线即上岸,研招网院校库+教育部国家线,管理学普通方向线332 物流特色院校
北京物资学院,10037,经济学门类(产业经济/金融等),02,硕士,324,323,338,中低,★★☆ 需具体看方向,研招网院校库+教育部国家线,
北京物资学院,10037,交叉学科门类,14,硕士,266,266,275,低,★★★ 大概率过线即上岸,研招网院校库+教育部国家线,
首都体育学院,10029,教育学门类-体育学/体育,04(体育),硕士,310,304,313,低-体育类非热门,★★★ 大概率过线即上岸,研招网院校库+教育部国家线,体育类国家线310 竞争相对较小
首都体育学院,10029,教育学门类(其他教育学方向),04,硕士,347,341,350,中,★★☆ 需确认,研招网院校库+教育部国家线,
